"name","longitude","latitude"
"臺北","121.553295992469","25.0829447949608"
"新北","121.595366034819","24.9871053685328"
"桃園","121.257644987174","24.9032943189428"
"新竹","121.0245320694892","24.74887376556428"
"苗栗","120.92200621815","24.4839121204106"
"臺中","120.892398328325","24.2382108418528"
"南投","120.982077428408","23.8427384137268"
"彰化","120.468785029319","23.964588604665"
"雲林","120.379239156776","23.6900711221229"
"嘉義","120.52004686003","23.4487462057333"
"臺南","120.3435008278888","23.11336950934351"
"高雄","120.3560606541132","22.68734619369767"
"屏東","120.6048201724652","22.42357695378908"
"基隆","121.718524888828","25.1171356283121"
"宜蘭","121.640459582106","24.5702295089685"
"花蓮","121.378975081352","23.7533376226121"
"臺東","121.032951567551","22.8747854659223"
"澎湖","119.588342146059","23.595567893773"
"金門","118.38015456527","24.45774187407913"
"馬祖","119.980365742799","26.1870063104649"
