StationUID,StationID,StationName/Zh_tw,StationName/En,StationPosition/PositionLon,StationPosition/PositionLat,StationAddress,StationPhone,StationClass,StationURL
TRA-3280,3280,太原,Taiyuan,120.69981,24.16413,40645臺中市北屯區北興里東光路 665 號,04-22313926,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3280
TRA-3290,3290,精武,Jingwu,120.69773,24.14917,40151臺中市東區東南里東光路 161號,04-23606501,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3290
TRA-3300,3300,臺中,Taichung,120.68527,24.13661,40043臺中市中區綠川里臺灣大道一段 1 號,04-22227236,0,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3300
TRA-3310,3310,五權,Wuquan,120.66644,24.12877,402臺中市南區建國南路二段201號,04-22601636,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3310
TRA-3320,3320,大慶,Daqing,120.64791,24.11891,40242臺中市南區樹德里7鄰大慶街2段130號,04-22637940,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3320
TRA-3330,3330,烏日,Wuri,120.62244,24.10867,41442臺中市烏日區烏日里三民街 258 號,04-23381071,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3330
TRA-3340,3340,新烏日,Xinwuri,120.61429,24.10976,41456臺中市烏日區三和里高鐵東一路 26 號,04-23376883,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3340
TRA-3350,3350,成功,Chenggong,120.59021,24.11424,41453臺中市烏日區榮泉里中山路三段 550 號,04-23371986,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3350
TRA-3360,3360,彰化,Changhua,120.53828,24.08171,50043彰化縣彰化市長樂里三民路 1 號,04-7274218#11,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3360
TRA-3370,3370,花壇,Huatan,120.53759,24.02521,50341彰化縣花壇鄉花壇村中正路 370 號,04-7881418,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3370
TRA-3380,3380,大村,Dacun,120.56068,23.99003,515彰化縣大村鄉過溝村福進路 100 號,04-8525148,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3380
TRA-3390,3390,員林,Yuanlin,120.56995,23.95933,51041彰化縣員林市和平里民權街 55 號,04-8320544#15,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3390
